Title,Content,WPML Language Code,E-mailadres voor contact,Logo,Banner,Provincies,Omvang,Slogan,Plaats(en),Locaties_primary,Locaties_location_label,Locaties_address,Locaties_postcode,Locaties_city,Locaties_phonenumber,Locaties_emailaddress,Locaties_kvk_number,Locaties_website_url,Tekst
Triple,"Wij zijn Triple. Een full service digitaal bureau gelegen in het knusse Alkmaar. Opgericht in 1998 toen vier Quake clan-leden hun computer skills voor productievere dingen wilden gebruiken.



Ooit begonnen in het serverhok en door de jaren heen expert geworden op het gebied van strategie, concept, design, cloud solutions, frontend, backend en app development, video streaming solutions, data, analytics en artificial intelligence. Inmiddels gooien we met meer dan 200 collega's in Nederland en 100 collega's in Polen het digitale landschap op zijn kop door technische kennis en design thinking te combineren voor bedrijfskritische oplossingen met de daarbij behorende uitdagingen.



Vanuit onze visie versterken wij A-merken op het gebied van digitale innovatie en oplossingen. Van business kritische projecten tot simpelweg leuke opdrachten of zelfs projecten die een grote impact kunnen hebben op de samenleving. Dat doen wij samen met onder andere <a href=""https://www.wearetriple.com/nl/cases/mijn-vodafone/"">Vodafone</a><a href=""https://www.wearetriple.com/nl/cases/ziggo/"">Ziggo</a>, <a href=""https://www.wearetriple.com/nl/cases/citizenm/"">citizenM</a>, <a href=""https://www.wearetriple.com/nl/cases/qmusic/"">Qmusic</a>, <a href=""https://www.wearetriple.com/nl/cases/max-verstappen/"">Max Verstappen</a>, <a href=""https://www.wearetriple.com/nl/cases/nlziet/"">NLZIET</a>, <a href=""https://www.wearetriple.com/nl/cases/anwb/"">ANWB</a> en <a href=""https://www.wearetriple.com/nl/cases/afc-ajax/"">AFC Ajax</a>.



Bovendien werken wij ook aan onze eigen innovaties. Sommigen groeien uit van hobby projecten naar dochterondernemingen. Vinson (mobile live tv platform), SpotOn (social editing tool) en Team Gullit (FIFA-academy) en Esports Club (esports platform) zijn hier enkele voorbeelden van.



Wil je meer weten? <a href=""http://www.wearetriple.com"">Neem een kijkje op onze website</a>.",nl,info@wearetriple.com,https://dutchdigitalagencies.com/wp-content/uploads/2021/04/Triple-logo-white.png,https://dutchdigitalagencies.com/wp-content/uploads/2021/08/Triple-Virtual-Reality-office-1-00-19-04-1-scaled.jpg,Noord-Holland,250+,Wij helpen bedrijven met het maken van fantastische digitale ervaringen,Alkmaar,1|,Triple HQ|Amsterdam HQ,Keesomstraat 10E|Oostelijke Handelskade 751,1821BS Alkmaar|1019BW ,Alkmaar|Amsterdam,|072 512 9516,info@wearetriple.com|jobs@wearetriple.com,37081955|,https://wearetriple.com|,
Synetic,"<h2 class=""preview-content__title page-title"">Synetic, een wereld vol digitale pioniers.</h2>

<p class=""preview-content__intro"" data-v-2ba612a7="""">Wij zijn Synetic: een team van digitale verkenners en visionairs. Stap aan boord en laat je meenemen op expeditie naar je digitale toekomst.</p>



<h3>Never stop reaching for the stars</h3>

<p data-v-2ba612a7="""">Welkom op planeet Synetic. Wij zijn de digitale pioniers die je toekomstplannen omzetten in ervaringen die het dagelijks leven beter maken. Zodat jij als bedrijf preciezer kunt handelen, wendbaar blijft of uitdagingen te slim af bent. En de connectie met je klanten kunt versterken. Dat kun je gerust een expeditie noemen. Want in een wereld waar innovatie alle ruimte krijgt, valt nog veel te ontdekken.</p>



<h3 class=""photo-block__text-title h3"">Bouwen aan je digitale toekomst</h3>

<p data-v-2ba612a7="""">Hoe groots je ideeën ook zijn: wij vertalen je strategie naar een krachtige applicatie. Samen met jou bouwen we een digitaal landschap waarin je plannen zich thuisvoelen en veilig kunnen groeien. Bijvoorbeeld met maatwerk softwareontwikkeling, een nieuw e-commerce platform of webpersonalisatie waarmee je klanten altijd op maat bedient.</p>



<h3 class=""photo-block__text-title h3"">Planet of digital pioneers</h3>

<p data-v-9aefcd3e="""">Door de sterren van de hemel te coderen, geven we je controle over je digitale toekomst. Maar – schrik niet – technologie is bijzaak. Dat je applicatie vlekkeloos presteert, vinden we namelijk vanzelfsprekend. Belangrijker voor ons is dat je een partner hebt gevonden waar je blind op kunt vertrouwen. Dankzij ons sterke gevoel voor vakmanschap en ondernemerschap, en door te doen waar we goed in zijn, helpen we je om voorop te blijven lopen.</p>



<h3>Onze missie en kernwaarden</h3>

Synetic brengt bedrijven naar de volgende stap in hun digitale volwassenwording. Grote corporates bijvoorbeeld, op zoek naar een betrouwbaar bureau om online mee op te schalen. Maar ook snelgroeiende mkb’ers, die voor hun succes afhankelijk zijn van een perfect presterende webshop. Hierbij gaan we altijd voor meesterschap. Ook gelijkwaardigheid is een rode draad in onze samenwerking, met elkaar en met onze klanten. Daarnaast bouwen we vol passie en plezier onze producten en dagen we onszelf elke dag uit om het beter te doen dan gister.",nl,hessel@synetic.nl,https://dutchdigitalagencies.com/wp-content/uploads/2023/11/synetic-social-avatar-3.png,https://dutchdigitalagencies.com/wp-content/uploads/2023/11/Banner-DDA-2-4-scaled.jpg,Noord-Holland,25-49,We enable our partners to stay on top of the ever-changing digital world.,Haarlem,1,Hoofdkantoor,Kennemerplein 2,2011 MJ,Haarlem,233032100,info@synetic.nl,34153120,https://synetic.nl,
Incentro,"<p dir=""ltr""><span style=""font-family: arial, sans-serif"">Incentro is een innovatieve digitale dienstverlener, die stuurt op kameraadschap, lef, autonomie en vakmanschap. De ruim 380 specialisten van Incentro hebben een sterke passie voor wat ze doen. </span><span style=""font-family: arial, sans-serif"">Hét kernwoord voor hun dienstverlening? Digitale transformatie. Voor dit gehele proces hebben zij specialisten in huis die zich richten op het ontwerpen, ontwikkelen en beheren van websites, webshops en apps, tot het automatiseren van marketingactiviteiten en het reguleren van interne informatiestromen. </span><span style=""font-family: arial, sans-serif""><span style=""color: #000000"">Hoe zij dat doen? Met passie en expertise. </span>Dit doen zij zowel voor de top 200 Nederlandse bedrijven als voor Internationale klanten. Naast haar 9 vestigingen in Nederland, is Incentro ook aanwezig in Spanje en Kenia.</span></p>",nl,info@incentro.com,https://dutchdigitalagencies.com/wp-content/uploads/2020/10/white-5e32f.png,https://dutchdigitalagencies.com/wp-content/uploads/2020/12/NEXT.jpg,Noord-Holland|Utrecht|Zuid-Holland,250+,Let's embrace change!,"Utrecht, Rotterdam, Amsterdam, Kenia & Santander",,Incentro Interactive,"Tractieweg, 41h",3534AP,Utrecht,+31 (0)30 227 07 52,info@incentro.com,,,
MaxServ,"MaxServ is een internetbureau dat gespecialiseerd is in het ontwikkelen, leveren en onderhouden van enterprise internet platformen. Door de directe en eerlijke benadering, hoge mate van creativiteit, technische kennis en resultaatgerichtheid onderscheidt MaxServ zich in deze markt. Doordat MaxServ zowel strategische, creatieve, technische en commerciële expertise in huis heeft wordt de klant volledig ontzorgd. MaxServ levert hoogwaardige en innovatieve online internet platformen welke tot stand komen binnen het Enterprise TYPO3 CMS en Magento E-commerce platform.",nl,ronnie@maxserv.com,https://dutchdigitalagencies.com/wp-content/uploads/2020/10/5c2c8795c91272486329f56902b45ff8425b66363ac3c.png,https://dutchdigitalagencies.com/wp-content/uploads/2020/10/59782ccfb8e86f651d960ec94f0c24a080bf3f5fba99c.jpg,Noord-Brabant,25-49,Digitaal Meesterschap ,Waalwijk,,Waalwijk ,Taxandriaweg 11,5142 PA,Waalwijk,+31 (0) 416 30 10 00 ,info@maxserv.com,,,
Youwe,"<h3 class=""firstTitle z-50 max-w-912 SectionedTitle_title__3U3pm""><span class=""SectionedTitle_titlePart__1YMeJ title-part1"">Digitaal bureau sinds 2000. Door bewezen technologie en impactvolle marketing te combineren </span><span class=""SectionedTitle_titlePart__1YMeJ title-part2"">, zijn we digitaal onderdeel van de kritische processen van jouw bedrijf. Wij maken impact waar het er het meest toe doet.</span></h3>

Onze strategieën weerspiegelen de razend snel veranderende wereld. Sinds 2011 zijn wij internationaal actief als Digital Agency. Vandaag de dag, met negen kantoren over de hele wereld, meer dan 300 teamleden en meer dan 25 partners, combineren we grensoverschrijdende mogelijkheden met lokale kennis om onze klanten een voorsprong te geven op hun concurrenten.



Onze oprichters hebben er voor gezorgd dat wij als Digital Agency altijd nét een stapje vooruit zijn. Samen helpen we onze klanten om net als wij het voortouw te nemen in de digitale transformatie.",nl,careers@youweagency.com,https://dutchdigitalagencies.com/wp-content/uploads/2020/12/youwe300x300.png,https://dutchdigitalagencies.com/wp-content/uploads/2023/11/DSC3546-1-scaled.jpg,Groningen|Noord-Holland|Zuid-Holland,250+,Stay ahead. Go beyond.,"Rotterdam, Groningen, Amsterdam",||||||||,Youwe HQ|Youwe Amsterdam|Groningen |Youwe Kyiv|Youwe London| Leeds|Stockholm| Indonesia|Youwe UK,"Vasteland 110|Kabelweg 57|Laan Corpus Den Hoorn 200|7a Klovskiy descent; 3rd floor, office 47|122 Leadenhall St|Suite 5 Jason House Kerry Hill Horsforth|Vasagatan 28|Jl. Sharon Boulevard Raya,  Cipamokolan, Kec. Rancasari|29 High St.",3011BP |1014 BA|9728JS|01021 Kiev|EC3V 4QT London|LS18 4JR|111 20 |40292|SY1 1SQ,Rotterdam|Amsterdam|Groningen|Kyiv|London|Leeds|Stockholm|Kota Bandung Indonesia|Shrewsbury, +31 10 466 8638||||||+46 8 599 996 73||+44 1743 292610,careers@youweagency.com|careers@youweagency.com|careers@youweagency.com|careers@youweagency.com|careers@youweagency.com|careers@youweagency.com|careers@youweagency.com|careers@youweagency.com|careers@youweagency.com,51792737|34126832|60826886|62697323|62697323|62697323|62697323|62697323|,https://www.youweagency.com/|https://www.youweagency.com/|https://www.youweagency.com/|https://www.youweagency.com/|https://www.youweagency.com/|https://www.youweagency.com/|wwww.youweagency.com|https://www.youweagency.com/|,
SteamTalmark,"We zijn een employer branding specialist, maar wat we maken is juist ontzettend divers: van games tot tv- en onlinecommercials, radio, websites, branded content, events, documentaires; you name it. We werken voor een mooi klantenpakket.",nl,leonie@steamtalmark.nl,https://dutchdigitalagencies.com/wp-content/uploads/2023/11/Logo-SteamTalmark-2.png,https://dutchdigitalagencies.com/wp-content/uploads/2020/12/Naamloos-2-5.png,Noord-Holland|Utrecht,25-49,Irresistible Employer Branding,"Amsterdam, Utrecht",0|0,SteamTalmark Utrecht|SteamTalmark Amsterdam,Nijverheidsweg 16|Generaal Vetterstraat 76E,3534 AM|1059 BW,Utrecht|Amsterdam,|,info@talmark.nl|amsterdam@steamtalmark.nl,30166033|33255606,www.steamtalmark.nl|,
PANGAEA,"PANGAEA Digital Agency heeft als doel om jou succesvol te maken op het internet.



We doen dat op basis van 3 pijlers, strategie, marketing en techniek. Alleen als alledrie de pijlers goed ingericht zijn kan je succesvol worden en blijven.



We bepalen samen de digitale strategie. Hoe en waarmee kan jij succesvol zijn. Waar liggen de kansen en wat is ervoor nodig om deze maximaal te benutten. We maken daar een business model voor zodat het voorspelbaar is wat jij online gaat verdienen.



Met de pijler Marketing zorgen we ervoor dat jij gevonden wordt door je doelgroep, op Google, Instagram, Facebook, dat je daar een pakkende boodschap neerzet zodat jouw prospects klikken en naar je website gaan. Op de website zorgen we ervoor dat de eerste indruk meteen goed is, En dat er een logische flow is door de website die het jou bezoeker zo makkelijk maakt dat ze hebben besteld voor ze het door hebben.



De derde pijler Techniek zorgt ervoor dat jouw e-commerce platform naadloos aangesloten is aan jouw ERP systeem en dat je kan opschalen.



Onderdeel van techniek is ook dat je jouw debiteuren en artikelen, prijslijsten, mandaten 1 op 1 geïntegreerd zijn met het e-commerce platform, Daar heb jij geen omkijken meer naar zodat jij je kan focussen op wat echt belangrijk is voor je klanten, namelijk toegevoegde waarde bieden.",nl,bas.kroontje@pangaea.nl,https://dutchdigitalagencies.com/wp-content/uploads/2020/10/5ab8e6c8c72c86bac18fb9961a59721bcd4f1046be8e0.png,https://dutchdigitalagencies.com/wp-content/uploads/2020/10/5ab8e768e913bbba11439d5e33d5e033fbff46d381528.jpg,Zuid-Holland,25-49,We Grow your Business!,Den Haag,,Den Haag,Regulusweg 5,2516 AC,Den Haag,886123456,bas.kroontje@pangaea.nl,24256964,https://pangaea.nl,
STRANGELOVE,"<div class=""DropTargetAttachment SingleTaskPaneSpreadsheet-attachmentDropTarget"">

<div class=""DynamicBorderScrollable DynamicBorderScrollable--canScrollUp SingleTaskPaneSpreadsheet-scrollable"">

<div class=""Scrollable--withCompositingLayer Scrollable Scrollable--vertical DynamicBorderScrollable-scrollable"">

<div class=""DynamicBorderScrollable-content SingleTaskPaneSpreadsheet-body SingleTaskPaneSpreadsheet-body--notIE"">

<div class=""SingleTaskPaneSpreadsheet-feed SingleTaskPaneSpreadsheet-feed--notIE SingleTaskPaneSpreadsheet-feed--everyoneTab"">

<div class=""TaskStoryFeed"">

<div class=""FeedBlockStory TaskStoryFeed-blockStory"">

<div class=""FeedBlockStory-content"">

<div class=""BlockStoryStructure BlockStory"">

<div class=""BlockStoryStructure-block"">

<div class=""BlockStoryStructure-body"">

<div class=""TruncatedRichText"">

<div class=""RichText TruncatedRichText-richText"">

<h4 class=""headline4 "">Strangelove is a digital-first branding and marketing agency.</h4>

<p class=""paragraph center "">We boost the marketing and brand performance of B2B companies, semi-public organisations and education with strategic branding, digital design and campaigns.</p>



</div>

</div>

</div>

</div>

</div>

</div>

</div>

</div>

</div>

</div>

</div>

</div>

</div>",nl,office@strangelove.nl,https://dutchdigitalagencies.com/wp-content/uploads/2020/12/SL-DDA-brackets_blue_RGB-300x300-1.png,https://dutchdigitalagencies.com/wp-content/uploads/2020/12/SL-DDA-beeld-1415x600-1.jpg,Noord-Holland,10-24,,Amsterdam,,Strangelove ,Koningin Wilhelminaplein 29,1062 HJ,Amsterdam,204700533,office@strangelove.nl,55431194,https://strangelove.nl,
Nedbase,"Online passie. Het zit in ons DNA. We maken ijzersterke internetprojecten. In een snel bewegend online landschap. We zoeken grenzen op en gaan voor het hoogst haalbare. Samen met klanten die dezelfde ambitie hebben. Wij zorgen ervoor dat onze klanten er klaar voor zijn. Klaar voor nu en klaar voor de toekomst.



Wij helpen organisaties vooruit. Door strategie, creativiteit en technologie te koppelen, stellen we anderen in staat hun missie te bewerkstelligen. Praktisch, concreet en tastbaar. We maken niet alleen iets moois, we maken wat de klant nodig hebt. We ontwikkelen middelen in-house; van succesvolle websites tot handige applicaties. We begeleiden internetprojecten tot in de puntjes. Van gebruikersonderzoek/ UX tot het inrichten van een effectieve marketing campagne. We laten niks aan het toeval over. Ideeën maken we tastbaar. Mogelijkheden worden doelen. En kansen zetten we om in resultaat. Samen met onze klanten gaan we voor online groei.",nl,jaap@nedbase.nl,https://dutchdigitalagencies.com/wp-content/uploads/2020/10/nb-logo-tagline-diap-5de11.png,https://dutchdigitalagencies.com/wp-content/uploads/2020/10/nedbase-1-5de11.png,Zeeland,50-99,Zet de stap vooruit!,"Middelburg, Goes",,Middelburg ,Molenwater 81,4331SE,Middelburg,118617873,info@nedbase.nl,22046165,,
Hike One,"<span style=""font-weight: 400"">Hike One is your partner in digital product design. </span>



<span style=""font-weight: 400"">With over 60 UX designers, strategists, researchers, and project managers, we operate from our office in Amsterdam, Rotterdam, and Eindhoven. We bridge the gap between technology and people by creating products that are deliberate and delightful. Together we realise the full potential technology has to offer. Through collaboration we reach our destination.</span>



<span style=""font-weight: 400"">From designing the right thing, to designing the thing right. We work in an agile way, because no journey is the same. With every new insight a new possibility presents itself, and we choose the services that best fit the challenge at the time. We love to explore: we discover the pain points, define the product vision, and design products people love to use. </span>



<span style=""font-weight: 400"">We walk the journey together but we guide you on the way. And we always leave you more capable than before to continue on your own. </span>",nl,hello@hike.one,https://dutchdigitalagencies.com/wp-content/uploads/2023/01/Favicon-257_clay_square-2.jpg,https://dutchdigitalagencies.com/wp-content/uploads/2023/01/Art-Gallery_2022-46-1-scaled.jpg,Noord-Holland,25-49,Reach the full potential of your digital product.,Amsterdam,,Hike One Amsterdam,Koivistokade 70,1013BB,Amsterdam,020 204 45 77,hello@hike.one,,,
WeAreBrain,"Founded in 2014, WeAreBrain is a full-service strategic technology agency in the business of ideas, entrepreneurship and invention. We are entrepreneurs at heart and enable clients to create and execute strategies and solutions for their digital transformation.



We are a force field of 75 creators and entrepreneurs with expertise in product design, software development, data analytics and machine learning. Our collective experience and expertise lie in FMCG, Retail, Healthcare, FinTech and Media Entertainment..



WeAreBrain was voted in the Emerce Top 100 and we are a proud member of DDA, representing the leading digital agencies in the Netherlands. Our Tur.ai platform was selected among the Top 25 innovations in the Accenture Innovation Awards and we won a prestigious SpinAward along with nominations for Best of Swiss Web and Dutch Interactive Awards.



Our contribution to female entrepreneurship and gender equality in IT have been recognised by TheNextWomen and EY Winning Women.



WeAreBrain is owned and run by its founders from our headquarters in Amsterdam and Kiev. We collaborate with innovative Enterprise customers and international organisations such as HEINEKEN, Domino’s, Praxis DIY and the United Nations.",nl,elvire@wearebrain.com,https://dutchdigitalagencies.com/wp-content/uploads/2021/10/logo.png,https://dutchdigitalagencies.com/wp-content/uploads/2020/10/598aae224defdcafd33e81100649d771fc86c790713a1.png,Noord-Holland,50-99,Full service Digital Agency,"Amsterdam, Kyiv, Lausanne, Cape Town",0|0|0,Amsterdam|Kyiv|Lausanne,Laan der Hesperiden 166|Yaroslavska Str. 58|Chemin des Paquis 6a,1076DX|04071|1025,"Amsterdam|Kyiv, Ukraine|Saint-Sulpice (VD)",||,sayhello@wearebrain.com|sayhello@wearebrain.com|sayhello@wearebrain.com,73256560|73256560|73256560,https://wearebrain.com/|https://wearebrain.com/|,
Alion,"<h1>Wij zijn je digitale merkversterker.</h1>

Alion is je digitale merkversterker. Wij zetten jouw online aanwezigheid om in concreet resultaat. Wij zorgen dat klanten je online vinden en van je gaan houden. We zetten je merk <a href=""https://www.alion.nl/over-ons/"">ijzersterk</a> neer, bouwen converterende <a href=""https://www.alion.nl/diensten/brand-performance-websites/"">websites</a> en zetten je <a href=""https://www.alion.nl/diensten/online-marketing-en-lead-management/"">online marketing</a> op scherp en ontwikkelen we hoogwaardige <a href=""https://www.alion.nl/diensten/creative-assets/"">digitale creative assets</a>.



Onze visie op marketing, een bewezen aanpak en slimme techniek zorgen voor duurzaam resultaat, zonder tijd of geld te verspillen.



Daarmee leveren we:

<ul>

 	<li>Aandacht voor je merk</li>

 	<li>Interesse in je diensten</li>

 	<li>Leads voor je business</li>

</ul>

Kijk op <a href=""https://www.alion.nl/"">www.alion.nl</a>



&nbsp;",nl,info@alion.nl,https://dutchdigitalagencies.com/wp-content/uploads/2024/03/alion-logo-square-1.png,https://dutchdigitalagencies.com/wp-content/uploads/2024/03/WCM_IMG_8872_Alion-fotografie-1.jpg,Zuid-Holland,10-24,Wij zijn je digitale merkversterker,Delft,1,Alion,Lange Geer 30,2611 PV,Delft,152191650,info@alion.nl,27188135,https://alion.nl,
Endeavour,"<span style=""font-weight: 400"">Endeavour werkt al meer dan 20 jaar aan de digitalisering van merken en bedrijven door hun eindgebruiker centraal te zetten. Als team werken we met de nieuwste technologieën en kennen we de weg in de jungle van technische oplossingen, van creatieve concepten tot code schrijven. Wij zijn er voor klanten die op zoek zijn naar experts die vanuit een multidisciplinaire omgeving samen inhoud en structuur geven aan digitale transitie en aandacht hebben voor het behalen van digitale doelstellingen.</span>



<span style=""font-weight: 400"">We weten als geen ander dat merken en bedrijven het verschil maken in de digitale wereld door de lijntjes tussen het platform, de content en de online media te verbinden en daar regie op te voeren. Door de diepte op te zoeken in specialismen én altijd alle componenten van digitale initiatieven te verbinden, vinden we zekerheid en zorgen we voor een eenduidige boodschap van het merk. Dat zorgt voor een gerust gevoel en een grote mate van controle bij de klant, zodat die zich kan focussen op kerntaken en wij samen de juiste stappen zetten in het online veroveren van doelgroepen. Dat is orchestrated digital marketing. </span>



[video width=""1920"" height=""1080"" mp4=""https://dutchdigitalagencies.com/wp-content/uploads/2022/02/endeavour_showreel_2021-1080p.mp4""][/video]",nl,info@endeavour.nl,https://dutchdigitalagencies.com/wp-content/uploads/2022/01/DDA_Headerbeeld_END.jpg,https://dutchdigitalagencies.com/wp-content/uploads/2020/12/MG_1946-1.jpg,Noord-Holland,100-249,"Explore today, Conquer tomorrow",Haarlem,,Hoofdgebouw,Gonnetstraat 32,2011KA,Haarlem,237271077,info@endeavour.nl,52162710,https://endeavour.nl,
Orange Juice,"<span class=""NormalTextRun SCXW198607369 BCX0""><a href=""https://www.orangejuice.nl/"">Orange Juice</a>, gevestigd in Arnhem, is jouw digitale partner. Alles wat wij doen draait om één ding: </span><span class=""NormalTextRun SCXW198607369 BCX0"">het in beweging brengen van jouw online business</span><span class=""NormalTextRun SCXW198607369 BCX0"">. Sinds 2003 doen we dit met een team van experts die alles weten over online marketing en web development. Als organisatie zijn we ambitieus en hechten we veel waarde aan samenwerking. </span><span class=""NormalTextRun SCXW198607369 BCX0"">We doen dingen nu eenmaal niet graag half. We zijn gedreven en gaan samen voor het ultieme resultaat. Wij zijn klaar om jouw online business in beweging te zetten! Jij ook?</span>",nl,remco@orangejuice.nl,https://dutchdigitalagencies.com/wp-content/uploads/2024/04/Orange-Juice-Arnhem.jpg,https://dutchdigitalagencies.com/wp-content/uploads/2024/05/Orange-Juice-Arnhem.jpg,Gelderland,10-24,,Arnhem,,Kantoorgebouw De Enk,"Tivolilaan, 205",6824 BV,Arnhem,638245391,info@orange-juice.nl,9136973,https://orange-juice.nl,
Ontwerpwerk,"<strong>Wij zijn Ontwerpwerk </strong>Digital experts, strategen en designers met een drive voor werk dat ertoe doet. Slimme oplossingen met positieve impact. Voor mensen en de wereld om ons heen<strong>. </strong>



Wij weten hoe je met een slimme aanpak, betrouwbare digitale oplossingen en onderscheidend design mensen raakt en je merk positioneert. Op ons digital design en development kun je bouwen. Onze ux/ui-specialisten en front- en back-end developers realiseren optimale online ervaringen en effectieve digitale oplossingen. Bij ons kun je terecht voor online strategie, design, techniek en content van je website of web-applicatie.",nl,emil.heijkants@ontwerpwerk.nl,https://dutchdigitalagencies.com/wp-content/uploads/2020/12/Ontwerpwerk_Logo_Roze.png,https://dutchdigitalagencies.com/wp-content/uploads/2023/08/5075A17D-5995-4924-8609-85EA50B1EB06_1_201_a.jpeg,Zuid-Holland,25-49,"Strategy, digital en design",Den Haag,,Ontwerpwerk,Prinsestraat 37,2513 CA,Den Haag,070-3132020,bart.leupen@ontwerpwerk.nl,,https://ontwerpwerk.nl,
Harborn,"<span style=""font-weight: 400"">We zijn Harborn, een digital agency dat zorgt voor digitale groei. Door het verbinden van waardevolle data, het vereenvoudigen van complexiteit en een sterke focus op menselijke interactie. We bouwen digitale eco-systemen. Toekomstbestendig en gericht op het verbeteren van ondernemingen. We helpen onze relaties digitaal te transformeren naar nieuwe manieren van werken. Services en toepassingen die er op gericht zijn het dagelijks leven makkelijker te maken.</span>



<span style=""font-weight: 400"">Al deze complexe ontwikkelingen vragen om een sterk team. Bij Harborn bouwen we aan een cultuur waarbij experts kennis delen en nieuwe ontwikkelingen met elkaar onderzoeken. Iedereen wordt hierbij betrokken. We leren en innoveren samen met onze relaties. Zoals bijvoorbeeld: iTanks, LambWeston/Meijer, Gemeente Rotterdam, Stichting vluchteling, GGZ, Blauwhoed, Postillion Hotels, Santos Bikes en Caru Containers. Samen zijn we klaar voor de toekomst. Iedere digitale stap weer.</span>",nl,info@harborn.com,https://dutchdigitalagencies.com/wp-content/uploads/2022/02/Logo_Harborn_DDA.png,https://dutchdigitalagencies.com/wp-content/uploads/2022/02/Header_DDA.jpg,Zuid-Holland,25-49,Drive Digital Foward,Rotterdam,,Harborn,"Westblaak, 39",3012 KD,Rotterdam,104365050,robert@harborn.com,24302539,https://harborn.com,
Gracious,"Gracious is een full-service digital agency en dit is precies waar onze kracht ligt. Bij gracious kijken we namelijk naar hoe we de klant verder kunnen helpen, ook als dit buiten de vraag van de klant valt. Dit doen wij door samen te werken op basis van co-creatie. Wij zijn geen leverancier, maar een partner en samen maken we grote successen mogelijk. We werken doelstelling gedreven en samen tillen we het rendement en de user experience naar een hoger niveau. Een benadering die voor ons erg belangrijk is en diep in onze cultuur is verweven. Wij noemen dit ‘building awesome brands’",nl,zakaria@graciousstudios.nl,https://dutchdigitalagencies.com/wp-content/uploads/2020/10/5aba1375b6203dab4d747fd12721213d5a036d07fe083.png,https://dutchdigitalagencies.com/wp-content/uploads/2020/10/5aba2417b59ce0ef40bcfb1550352b11665a6fc61e2e3-scaled.jpg,Noord-Holland,25-49,building awesome brands,"Den Haag, Amsterdam",1|0,Den Haag|Amsterdam,Laan van Waalhaven 460|Haarlemmerweg 319a,2497GR|1051LG,Den Haag|Amsterdam,0703903324|0703903324,info@gracious.nl|info@gracious.nl,|,https://gracious.nl|https://gracious.nl,
Partout digital native agency,"Wij zijn Partout en wij openen digital. Dat doen we door traditionele rolpatronen tussen opdrachtgever en bureau te doorbreken. In een open partnership vullen we jouw team aan met de skills die je mist, jij schakelt rechtstreeks met onze specialisten.



We werken met drie zelfstandige teams. Afhankelijk van je vraag schakel je direct met Creatie, Technologie of Marketing. Zo maken we elk project behapbaar en houden we de vaart erin. Of je nou een strategisch vraagstuk hebt, snel een activatiecampagne online wilt hebben of een partner zoekt voor jaren. Wij openen digital voor je.



Met behulp van technologie en creativiteit helpen we je business vooruit en laten we de wereld een klein beetje mooier achter.



<strong>PARTOUT

</strong><strong>WE OPEN DIGITAL</strong>



&nbsp;



<img class=""aligncenter size-full wp-image-5222"" src=""http://dutchdigitalagencies.com/wp-content/uploads/2020/12/Header_Partout_v2_1415x600.jpg"" alt="""" width=""1415"" height=""600"" />",nl,rob@partout.nl,https://dutchdigitalagencies.com/wp-content/uploads/2020/12/Logo_300x300.png,https://dutchdigitalagencies.com/wp-content/uploads/2020/12/Header_Partout_v1-schadow_1415x600-1.jpg,Noord-Brabant,25-49,we open digital,Eindhoven,,Eindhoven,Vonderweg 22,5616 RM,Eindhoven,31 (0)40 285 15 25,info@partout.nl,17074890,,
Zuiderlicht,"Zuiderlicht is een creative consultancy in Maastricht die zich met veel plezier uitleeft op het uitgebreide speelveld van branding. We werken vanuit de expertises digital, strategie &amp; design thinking, communicatie, development &amp; webtechnologie, branding, design en testen &amp; optimaliseren. Hartje Maastricht werken zo'n 20 professionals met plezier en energie aan alle aspecten van wat we de totale brand experience noemen.



Met ons werk zorgen we voor zichtbaarheid, onderscheid, betrokkenheid en enthousiasme. We bedenken niet alleen ideeën waardoor organisaties beter gaan presteren, we vertalen die ook in opvallende designs en communicerende middelen. We overzien het geheel van positionering en strategie tot en met complete uitvoering en monitoring maar werken ook projectmatig op onderdelen van de (online) branding, marketing en communicatie van organisaties.



Bij het bijdragen aan het succes van onze opdrachtgevers staat bij Zuiderlicht altijd het belang van de eindgebruiker voorop. Wat we doen moet hem verder helpen, inspireren of in beweging zetten. Idealistisch als we zijn gaan we nog een stap verder en zetten we onze creatieve skills geregeld in om van onze regio, met en voor de mensen die hier wonen, een succes te maken.",nl,maud@zuiderlicht.nl,https://dutchdigitalagencies.com/wp-content/uploads/2020/10/z-logo-490x200px-wit-transparantkopie-5e819.png,https://dutchdigitalagencies.com/wp-content/uploads/2020/10/zuiderlicht-ronde-tafel-bovenaanzicht-d069584e-5e7f2.jpg,Limburg,10-24,,Maastricht,0,Maastricht,"Kommel, 18",6211 NZ,MAASTRICHT,433253823,maud@zuiderlicht.nl,14625281,,
